,date,state,fips,cases,deaths,month
4667,2020-05-26,New York,36,368669,29241,5
4666,2020-05-26,New Mexico,35,7130,325,5
4665,2020-05-26,New Jersey,34,155764,11191,5
4664,2020-05-26,New Hampshire,33,4231,214,5
4663,2020-05-26,Nevada,32,8059,396,5
4662,2020-05-26,Nebraska,31,12618,160,5
4661,2020-05-26,Montana,30,479,17,5
4660,2020-05-26,Missouri,29,12437,698,5
4659,2020-05-26,Mississippi,28,13731,652,5
4658,2020-05-26,Minnesota,27,21969,908,5
4657,2020-05-26,Michigan,26,55040,5266,5
4656,2020-05-26,Massachusetts,25,93693,6473,5
4655,2020-05-26,Maryland,24,48290,2333,5
4654,2020-05-26,Maine,23,2109,79,5
4653,2020-05-26,Louisiana,22,38252,2701,5
4652,2020-05-26,Kentucky,21,9175,407,5
4651,2020-05-26,Kansas,20,9352,204,5
4650,2020-05-26,Iowa,19,17999,480,5
4649,2020-05-26,Indiana,18,32856,2004,5
4648,2020-05-26,Illinois,17,113486,4960,5
4647,2020-05-26,Idaho,16,2699,81,5
4646,2020-05-26,Hawaii,15,633,17,5
4645,2020-05-26,Guam,66,1139,6,5
4644,2020-05-26,Georgia,13,42066,1867,5
4643,2020-05-26,Florida,12,52247,2258,5
4642,2020-05-26,District of Columbia,11,8334,440,5
4641,2020-05-26,Delaware,10,9066,335,5
4640,2020-05-26,Connecticut,9,41303,3769,5
4639,2020-05-26,Colorado,8,24553,1352,5
4594,2020-05-25,Indiana,18,32489,1984,5
4546,2020-05-24,Massachusetts,25,92675,6372,5
4592,2020-05-25,Idaho,16,2664,79,5
4474,2020-05-23,Colorado,8,23932,1327,5
4476,2020-05-23,Delaware,10,8690,324,5
4477,2020-05-23,District of Columbia,11,7966,427,5
4478,2020-05-23,Florida,12,50119,2232,5
4479,2020-05-23,Georgia,13,40408,1794,5
4480,2020-05-23,Guam,66,1134,6,5
4481,2020-05-23,Hawaii,15,633,17,5
4735,2020-05-27,Texas,48,59105,1598,5
4482,2020-05-23,Idaho,16,2626,79,5
4483,2020-05-23,Illinois,17,108100,4817,5
4484,2020-05-23,Indiana,18,31674,1964,5
4485,2020-05-23,Iowa,19,16898,446,5
4486,2020-05-23,Kansas,20,9119,200,5
4487,2020-05-23,Kentucky,21,8812,399,5
4488,2020-05-23,Louisiana,22,37165,2683,5
4489,2020-05-23,Maine,23,2013,77,5
4490,2020-05-23,Maryland,24,45608,2243,5
4491,2020-05-23,Massachusetts,25,91662,6304,5
4492,2020-05-23,Michigan,26,54304,5223,5
4493,2020-05-23,Minnesota,27,19854,861,5
4494,2020-05-23,Mississippi,28,13005,616,5
4495,2020-05-23,Missouri,29,11922,685,5
4475,2020-05-23,Connecticut,9,40022,3675,5
4473,2020-05-23,California,6,92815,3768,5
4591,2020-05-25,Hawaii,15,633,17,5
4472,2020-05-23,Arkansas,5,5775,115,5
4451,2020-05-22,Ohio,39,30795,1872,5
4452,2020-05-22,Oklahoma,40,5849,307,5
4453,2020-05-22,Oregon,41,3864,147,5
4454,2020-05-22,Pennsylvania,42,70305,5032,5
4455,2020-05-22,Puerto Rico,72,3030,126,5
4456,2020-05-22,Rhode Island,44,13736,579,5
4457,2020-05-22,South Carolina,45,9638,419,5
4458,2020-05-22,South Dakota,46,4356,50,5
4459,2020-05-22,Tennessee,47,19364,315,5
4460,2020-05-22,Texas,48,54369,1498,5
4461,2020-05-22,Utah,49,8057,93,5
4462,2020-05-22,Vermont,50,952,54,5
4463,2020-05-22,Virgin Islands,78,69,6,5
4464,2020-05-22,Virginia,51,34950,1136,5
4465,2020-05-22,Washington,53,20526,1061,5
4466,2020-05-22,West Virginia,54,1705,72,5
4467,2020-05-22,Wisconsin,55,14557,496,5
4468,2020-05-22,Wyoming,56,803,12,5
4469,2020-05-23,Alabama,1,14149,549,5
4470,2020-05-23,Alaska,2,409,8,5
4471,2020-05-23,Arizona,4,16040,799,5
4496,2020-05-23,Montana,30,479,16,5
4497,2020-05-23,Nebraska,31,11988,150,5
4498,2020-05-23,Nevada,32,7769,392,5
4499,2020-05-23,New Hampshire,33,4089,208,5
4524,2020-05-24,Alabama,1,14478,551,5
4525,2020-05-24,Alaska,2,409,8,5
4526,2020-05-24,Arizona,4,16339,800,5
4527,2020-05-24,Arkansas,5,5922,116,5
4528,2020-05-24,California,6,94743,3790,5
4529,2020-05-24,Colorado,8,24140,1332,5
4530,2020-05-24,Connecticut,9,40468,3693,5
4531,2020-05-24,Delaware,10,8809,326,5
4532,2020-05-24,District of Columbia,11,8110,432,5
4533,2020-05-24,Florida,12,50859,2236,5
4534,2020-05-24,Georgia,13,40989,1799,5
4535,2020-05-24,Guam,66,1135,6,5
4536,2020-05-24,Hawaii,15,633,17,5
4537,2020-05-24,Idaho,16,2650,79,5
4538,2020-05-24,Illinois,17,110541,4884,5
4539,2020-05-24,Indiana,18,32151,1976,5
4540,2020-05-24,Iowa,19,17434,456,5
4541,2020-05-24,Kansas,20,9135,200,5
4542,2020-05-24,Kentucky,21,8842,399,5
4543,2020-05-24,Louisiana,22,37293,2690,5
4544,2020-05-24,Maine,23,2055,78,5
4523,2020-05-23,Wyoming,56,813,12,5
4522,2020-05-23,Wisconsin,55,14985,507,5
4521,2020-05-23,West Virginia,54,1729,72,5
4509,2020-05-23,Pennsylvania,42,71102,5121,5
4500,2020-05-23,New Jersey,34,153104,11081,5
4501,2020-05-23,New Mexico,35,6795,308,5
4502,2020-05-23,New York,36,364745,28900,5
4503,2020-05-23,North Carolina,37,22731,763,5
4504,2020-05-23,North Dakota,38,2365,52,5
4505,2020-05-23,Northern Mariana Islands,69,22,2,5
4506,2020-05-23,Ohio,39,31408,1956,5
4507,2020-05-23,Oklahoma,40,5960,311,5
4508,2020-05-23,Oregon,41,3888,147,5
4510,2020-05-23,Puerto Rico,72,3100,127,5
4520,2020-05-23,Washington,53,20740,1062,5
4511,2020-05-23,Rhode Island,44,13952,597,5
4512,2020-05-23,South Carolina,45,9895,425,5
4513,2020-05-23,South Dakota,46,4468,50,5
4514,2020-05-23,Tennessee,47,19765,325,5
4515,2020-05-23,Texas,48,55451,1522,5
4516,2020-05-23,Utah,49,8260,97,5
4517,2020-05-23,Vermont,50,954,54,5
4518,2020-05-23,Virgin Islands,78,69,6,5
4519,2020-05-23,Virginia,51,35749,1159,5
4450,2020-05-22,Northern Mariana Islands,69,22,2,5
4449,2020-05-22,North Dakota,38,2317,52,5
4448,2020-05-22,North Carolina,37,21661,754,5
4399,2020-05-21,Pennsylvania,42,69252,4887,5
4566,2020-05-24,Rhode Island,44,14065,608,5
4565,2020-05-24,Puerto Rico,72,3189,127,5
4564,2020-05-24,Pennsylvania,42,71656,5145,5
4563,2020-05-24,Oregon,41,3927,148,5
4562,2020-05-24,Oklahoma,40,6037,311,5
4561,2020-05-24,Ohio,39,31911,1969,5
4560,2020-05-24,Northern Mariana Islands,69,22,2,5
4559,2020-05-24,North Dakota,38,2418,53,5
4558,2020-05-24,North Carolina,37,23231,771,5
4557,2020-05-24,New York,36,366346,29046,5
4556,2020-05-24,New Mexico,35,6943,317,5
4555,2020-05-24,New Jersey,34,154154,11133,5
4554,2020-05-24,New Hampshire,33,4149,209,5
4553,2020-05-24,Nevada,32,7886,394,5
4552,2020-05-24,Nebraska,31,12133,153,5
4551,2020-05-24,Montana,30,479,16,5
4550,2020-05-24,Missouri,29,12114,689,5
4549,2020-05-24,Mississippi,28,13252,625,5
4548,2020-05-24,Minnesota,27,20582,878,5
4547,2020-05-24,Michigan,26,54616,5228,5
4545,2020-05-24,Maryland,24,46919,2277,5
4567,2020-05-24,South Carolina,45,10096,435,5
4568,2020-05-24,South Dakota,46,4563,50,5
4569,2020-05-24,Tennessee,47,20116,332,5
4581,2020-05-25,Arizona,4,16561,806,5
4590,2020-05-25,Guam,66,1135,6,5
4589,2020-05-25,Georgia,13,41414,1820,5
4588,2020-05-25,Florida,12,51738,2251,5
4587,2020-05-25,District of Columbia,11,8225,440,5
4586,2020-05-25,Delaware,10,8965,332,5
4585,2020-05-25,Connecticut,9,40873,3742,5
4584,2020-05-25,Colorado,8,24256,1333,5
4583,2020-05-25,California,6,97017,3808,5
4582,2020-05-25,Arkansas,5,6029,117,5
4580,2020-05-25,Alaska,2,412,8,5
4570,2020-05-24,Texas,48,56050,1533,5
4579,2020-05-25,Alabama,1,14986,566,5
4578,2020-05-24,Wyoming,56,813,12,5
4577,2020-05-24,Wisconsin,55,15362,510,5
4576,2020-05-24,West Virginia,54,1771,72,5
4575,2020-05-24,Washington,53,20989,1069,5
4574,2020-05-24,Virginia,51,36244,1171,5
4573,2020-05-24,Virgin Islands,78,69,6,5
4572,2020-05-24,Vermont,50,956,54,5
4571,2020-05-24,Utah,49,8392,97,5
4398,2020-05-21,Oregon,41,3817,145,5
4400,2020-05-21,Puerto Rico,72,2913,126,5
4447,2020-05-22,New York,36,362991,28802,5
4401,2020-05-21,Rhode Island,44,13571,556,5
4426,2020-05-22,Hawaii,15,632,17,5
4427,2020-05-22,Idaho,16,2595,79,5
4428,2020-05-22,Illinois,17,105710,4740,5
4429,2020-05-22,Indiana,18,31165,1941,5
4430,2020-05-22,Iowa,19,16510,441,5
4431,2020-05-22,Kansas,20,9068,200,5
4432,2020-05-22,Kentucky,21,8688,398,5
4433,2020-05-22,Louisiana,22,37048,2669,5
4434,2020-05-22,Maine,23,1948,75,5
4435,2020-05-22,Maryland,24,44539,2207,5
4436,2020-05-22,Massachusetts,25,90889,6228,5
4437,2020-05-22,Michigan,26,53865,5158,5
4438,2020-05-22,Minnesota,27,19014,851,5
