,date,state,fips,cases,deaths,month
5803,2020-06-16,Illinois,17,134866,6608,6
5802,2020-06-16,Idaho,16,3543,89,6
5801,2020-06-16,Hawaii,15,728,17,6
5800,2020-06-16,Guam,66,1155,6,6
5799,2020-06-16,Georgia,13,56302,2492,6
5798,2020-06-16,Florida,12,80101,2992,6
5797,2020-06-16,District of Columbia,11,9818,520,6
5796,2020-06-16,Delaware,10,10403,424,6
5771,2020-06-15,Ohio,39,41576,2573,6
5769,2020-06-15,North Dakota,38,3104,77,6
5724,2020-06-14,Tennessee,47,30174,467,6
5735,2020-06-15,Alaska,2,738,10,6
5744,2020-06-15,Georgia,13,55505,2457,6
5743,2020-06-15,Florida,12,77318,2937,6
5742,2020-06-15,District of Columbia,11,9799,515,6
5741,2020-06-15,Delaware,10,10340,423,6
5740,2020-06-15,Connecticut,9,45235,4204,6
5739,2020-06-15,Colorado,8,29284,1605,6
5738,2020-06-15,California,6,155662,5120,6
5737,2020-06-15,Arkansas,5,12917,182,6
5736,2020-06-15,Arizona,4,37005,1204,6
5734,2020-06-15,Alabama,1,26272,774,6
5768,2020-06-15,North Carolina,37,45257,1156,6
5733,2020-06-14,Wyoming,56,1060,18,6
5732,2020-06-14,Wisconsin,55,25307,702,6
5731,2020-06-14,West Virginia,54,2290,88,6
5730,2020-06-14,Washington,53,27135,1220,6
5729,2020-06-14,Virginia,51,54506,1546,6
5728,2020-06-14,Virgin Islands,78,73,6,6
5727,2020-06-14,Vermont,50,1127,55,6
5726,2020-06-14,Utah,49,14313,139,6
5725,2020-06-14,Texas,48,89542,1995,6
5745,2020-06-15,Guam,66,1155,6,6
5746,2020-06-15,Hawaii,15,724,17,6
5747,2020-06-15,Idaho,16,3472,89,6
5748,2020-06-15,Illinois,17,134247,6543,6
5767,2020-06-15,New York,36,388719,30645,6
5766,2020-06-15,New Mexico,35,9845,440,6
5765,2020-06-15,New Jersey,34,167103,12676,6
5764,2020-06-15,New Hampshire,33,5345,320,6
5763,2020-06-15,Nevada,32,11316,466,6
