,date,state,fips,cases,deaths,month
2834,2020-04-23,Indiana,18,13196,811,4
2854,2020-04-23,North Dakota,38,709,15,4
2835,2020-04-23,Iowa,19,3939,96,4
2836,2020-04-23,Kansas,20,2626,112,4
2837,2020-04-23,Kentucky,21,3548,194,4
2838,2020-04-23,Louisiana,22,25798,1599,4
2839,2020-04-23,Maine,23,937,44,4
2840,2020-04-23,Maryland,24,15805,748,4
2841,2020-04-23,Massachusetts,25,46023,2360,4
2842,2020-04-23,Michigan,26,35253,2977,4
2843,2020-04-23,Minnesota,27,2942,200,4
2844,2020-04-23,Mississippi,28,5153,201,4
2845,2020-04-23,Missouri,29,6321,248,4
2846,2020-04-23,Montana,30,442,14,4
2847,2020-04-23,Nebraska,31,2190,46,4
2848,2020-04-23,Nevada,32,4208,195,4
2849,2020-04-23,New Hampshire,33,1670,51,4
2850,2020-04-23,New Jersey,34,99989,5368,4
2851,2020-04-23,New Mexico,35,2379,78,4
2852,2020-04-23,New York,36,267932,20212,4
2853,2020-04-23,North Carolina,37,7608,253,4
2786,2020-04-22,Massachusetts,25,42944,2182,4
2784,2020-04-22,Maine,23,907,39,4
2693,2020-04-20,Oregon,41,1956,75,4
2726,2020-04-21,Kansas,20,2114,107,4
2717,2020-04-21,District of Columbia,11,3098,112,4
2718,2020-04-21,Florida,12,27861,866,4
2719,2020-04-21,Georgia,13,19189,810,4
2720,2020-04-21,Guam,66,852,6,4
2721,2020-04-21,Hawaii,15,580,12,4
2722,2020-04-21,Idaho,16,1766,51,4
2723,2020-04-21,Illinois,17,33059,1479,4
2724,2020-04-21,Indiana,18,12214,731,4
2725,2020-04-21,Iowa,19,3641,83,4
2727,2020-04-21,Kentucky,21,3193,172,4
2783,2020-04-22,Louisiana,22,25317,1532,4
2728,2020-04-21,Louisiana,22,24854,1405,4
2729,2020-04-21,Maine,23,888,36,4
2730,2020-04-21,Maryland,24,14261,652,4
2731,2020-04-21,Massachusetts,25,41199,1961,4
2732,2020-04-21,Michigan,26,32936,2698,4
2733,2020-04-21,Minnesota,27,2567,160,4
2734,2020-04-21,Mississippi,28,4716,183,4
2735,2020-04-21,Missouri,29,5941,221,4
2736,2020-04-21,Montana,30,437,12,4
2716,2020-04-21,Delaware,10,2931,82,4
2715,2020-04-21,Connecticut,9,20360,1423,4
2714,2020-04-21,Colorado,8,10447,484,4
2713,2020-04-21,California,6,35844,1316,4
2694,2020-04-20,Pennsylvania,42,34005,1366,4
2695,2020-04-20,Puerto Rico,72,1252,42,4
2696,2020-04-20,Rhode Island,44,5090,155,4
2697,2020-04-20,South Carolina,45,4439,124,4
2698,2020-04-20,South Dakota,46,1685,7,4
2699,2020-04-20,Tennessee,47,6994,156,4
2700,2020-04-20,Texas,48,20035,523,4
2701,2020-04-20,Utah,49,3213,28,4
2702,2020-04-20,Vermont,50,816,37,4
2703,2020-04-20,Virgin Islands,78,54,3,4
2704,2020-04-20,Virginia,51,8989,300,4
2705,2020-04-20,Washington,53,12255,661,4
2706,2020-04-20,West Virginia,54,908,26,4
2707,2020-04-20,Wisconsin,55,4499,231,4
2708,2020-04-20,Wyoming,56,426,2,4
2709,2020-04-21,Alabama,1,5327,186,4
2710,2020-04-21,Alaska,2,327,7,4
2711,2020-04-21,Arizona,4,5251,213,4
2712,2020-04-21,Arkansas,5,2262,43,4
2737,2020-04-21,Nebraska,31,1726,38,4
2738,2020-04-21,Nevada,32,3937,163,4
2739,2020-04-21,New Hampshire,33,1491,42,4
2762,2020-04-21,Wisconsin,55,4620,243,4
2764,2020-04-22,Alabama,1,5610,201,4
2765,2020-04-22,Alaska,2,333,7,4
2766,2020-04-22,Arizona,4,5459,236,4
2767,2020-04-22,Arkansas,5,2392,44,4
2768,2020-04-22,California,6,37573,1425,4
2769,2020-04-22,Colorado,8,10878,526,4
2770,2020-04-22,Connecticut,9,22469,1544,4
2771,2020-04-22,Delaware,10,3200,89,4
2772,2020-04-22,District of Columbia,11,3206,127,4
2773,2020-04-22,Florida,12,28301,926,4
2774,2020-04-22,Georgia,13,20099,837,4
2775,2020-04-22,Guam,66,911,6,4
2776,2020-04-22,Hawaii,15,586,12,4
2777,2020-04-22,Idaho,16,1802,54,4
2778,2020-04-22,Illinois,17,35108,1577,4
2779,2020-04-22,Indiana,18,12575,764,4
2780,2020-04-22,Iowa,19,3764,90,4
2781,2020-04-22,Kansas,20,2291,111,4
2782,2020-04-22,Kentucky,21,3373,185,4
2763,2020-04-21,Wyoming,56,442,6,4
2761,2020-04-21,West Virginia,54,929,26,4
2740,2020-04-21,New Jersey,34,92387,4753,4
2760,2020-04-21,Washington,53,12410,683,4
2741,2020-04-21,New Mexico,35,2072,65,4
2742,2020-04-21,New York,36,255932,19040,4
2743,2020-04-21,North Carolina,37,6951,217,4
2744,2020-04-21,North Dakota,38,644,13,4
2745,2020-04-21,Northern Mariana Islands,69,14,2,4
2746,2020-04-21,Ohio,39,13725,557,4
2747,2020-04-21,Oklahoma,40,2807,164,4
2748,2020-04-21,Oregon,41,2002,78,4
2749,2020-04-21,Pennsylvania,42,35384,1620,4
2750,2020-04-21,Puerto Rico,72,915,43,4
2751,2020-04-21,Rhode Island,44,5500,171,4
2752,2020-04-21,South Carolina,45,4608,135,4
2753,2020-04-21,South Dakota,46,1755,8,4
2754,2020-04-21,Tennessee,47,7317,159,4
2755,2020-04-21,Texas,48,20949,552,4
2756,2020-04-21,Utah,49,3301,32,4
2757,2020-04-21,Vermont,50,818,39,4
2758,2020-04-21,Virgin Islands,78,54,3,4
2759,2020-04-21,Virginia,51,9629,325,4
2508,2020-04-17,Louisiana,22,23118,1213,4
1815,2020-04-04,Puerto Rico,72,452,18,4
2506,2020-04-17,Kansas,20,1732,84,4
1822,2020-04-04,Vermont,50,461,20,4
1813,2020-04-04,Oregon,41,1000,26,4
1814,2020-04-04,Pennsylvania,42,10110,140,4
2877,2020-04-24,Arkansas,5,2810,47,4
1816,2020-04-04,Rhode Island,44,806,17,4
1817,2020-04-04,South Carolina,45,1917,40,4
1818,2020-04-04,South Dakota,46,212,2,4
1819,2020-04-04,Tennessee,47,3265,47,4
1820,2020-04-04,Texas,48,6566,124,4
1821,2020-04-04,Utah,49,1426,8,4
1823,2020-04-04,Virgin Islands,78,42,0,4
1788,2020-04-04,Illinois,17,10357,248,4
1824,2020-04-04,Virginia,51,2408,52,4
1825,2020-04-04,Washington,53,7499,318,4
1826,2020-04-04,West Virginia,54,282,2,4
1827,2020-04-04,Wisconsin,55,2112,60,4
1828,2020-04-04,Wyoming,56,189,0,4
2269,2020-04-13,Alabama,1,3805,104,4
2270,2020-04-13,Alaska,2,275,6,4
2271,2020-04-13,Arizona,4,3702,122,4
2272,2020-04-13,Arkansas,5,1475,30,4
1812,2020-04-04,Oklahoma,40,1159,42,4
1811,2020-04-04,Ohio,39,3739,102,4
1810,2020-04-04,Northern Mariana Islands,69,8,1,4
1809,2020-04-04,North Dakota,38,186,3,4
1790,2020-04-04,Iowa,19,786,11,4
1791,2020-04-04,Kansas,20,702,21,4
1792,2020-04-04,Kentucky,21,909,40,4
1793,2020-04-04,Louisiana,22,12500,412,4
1794,2020-04-04,Maine,23,456,10,4
1795,2020-04-04,Maryland,24,3125,54,4
1796,2020-04-04,Massachusetts,25,11736,216,4
1797,2020-04-04,Michigan,26,14225,541,4
1798,2020-04-04,Minnesota,27,865,24,4
1799,2020-04-04,Mississippi,28,1455,35,4
1800,2020-04-04,Missouri,29,2291,44,4
1801,2020-04-04,Montana,30,281,6,4
1802,2020-04-04,Nebraska,31,339,8,4
1803,2020-04-04,Nevada,32,1758,46,4
1804,2020-04-04,New Hampshire,33,621,9,4
1805,2020-04-04,New Jersey,34,34124,847,4
1806,2020-04-04,New Mexico,35,544,11,4
1807,2020-04-04,New York,36,115963,4535,4
1808,2020-04-04,North Carolina,37,2402,30,4
2273,2020-04-13,California,6,24334,725,4
2274,2020-04-13,Colorado,8,7691,308,4
2275,2020-04-13,Connecticut,9,13381,602,4
2298,2020-04-13,Nevada,32,3036,114,4
2300,2020-04-13,New Jersey,34,64584,2443,4
2301,2020-04-13,New Mexico,35,1345,31,4
2302,2020-04-13,New York,36,197973,12998,4
2303,2020-04-13,North Carolina,37,4788,91,4
2304,2020-04-13,North Dakota,38,331,9,4
2305,2020-04-13,Northern Mariana Islands,69,11,2,4
2306,2020-04-13,Ohio,39,6975,274,4
2307,2020-04-13,Oklahoma,40,2069,98,4
2308,2020-04-13,Oregon,41,1584,53,4
2309,2020-04-13,Pennsylvania,42,24295,563,4
2310,2020-04-13,Puerto Rico,72,903,45,4
2311,2020-04-13,Rhode Island,44,2976,73,4
2312,2020-04-13,South Carolina,45,3439,87,4
